country,energy_type,produced_value,consumed_value,year,sector,C02_value,GHG_value
Belgique,Renewables and biofuels,2.53,1.52,2011,Transport,26.00,26.28
Belgique,Renewables and biofuels,2.82,1.63,2012,Transport,25.18,25.46
Belgique,Renewables and biofuels,3.03,1.83,2013,Transport,24.70,24.98
Belgique,Renewables and biofuels,3.00,1.73,2014,Transport,24.94,25.23
Belgique,Renewables and biofuels,3.05,1.69,2015,Transport,26.60,26.90
Belgique,Renewables and biofuels,3.11,1.96,2016,Transport,26.31,26.62
Belgique,Renewables and biofuels,3.23,1.96,2017,Transport,25.75,26.04
Belgique,Renewables and biofuels,3.39,1.98,2018,Transport,25.92,26.21
Belgique,Renewables and biofuels,3.63,1.95,2019,Transport,25.69,25.98
Belgique,Renewables and biofuels,3.99,2.13,2020,Transport,21.41,21.66
Belgique,"Waste, non-renewable",0.30,0.05,1990,Agriculture/Forestry/Fisheries,3.04,3.09
Belgique,"Waste, non-renewable",0.32,0.06,1991,Agriculture/Forestry/Fisheries,3.05,3.10
Belgique,"Waste, non-renewable",0.37,0.08,1992,Agriculture/Forestry/Fisheries,3.07,3.12
Belgique,"Waste, non-renewable",0.37,0.08,1993,Agriculture/Forestry/Fisheries,3.09,3.13
Belgique,"Waste, non-renewable",0.39,0.10,1994,Agriculture/Forestry/Fisheries,3.13,3.18
Belgique,"Waste, non-renewable",0.41,0.09,1995,Agriculture/Forestry/Fisheries,2.97,3.02
Belgique,"Waste, non-renewable",0.39,0.08,1996,Agriculture/Forestry/Fisheries,3.02,3.07
Belgique,"Waste, non-renewable",0.40,0.09,1997,Agriculture/Forestry/Fisheries,2.90,2.95
Belgique,"Waste, non-renewable",0.40,0.09,1998,Agriculture/Forestry/Fisheries,2.88,2.93
Belgique,"Waste, non-renewable",0.44,0.13,1999,Agriculture/Forestry/Fisheries,2.74,2.79
Belgique,"Waste, non-renewable",0.44,0.12,2000,Agriculture/Forestry/Fisheries,2.52,2.57
Belgique,"Waste, non-renewable",0.53,0.15,2001,Agriculture/Forestry/Fisheries,2.47,2.52
Belgique,"Waste, non-renewable",0.49,0.14,2002,Agriculture/Forestry/Fisheries,2.44,2.48
Belgique,"Waste, non-renewable",0.57,0.15,2003,Agriculture/Forestry/Fisheries,2.41,2.46
Belgique,"Waste, non-renewable",0.56,0.14,2004,Agriculture/Forestry/Fisheries,2.49,2.54
Belgique,"Waste, non-renewable",0.50,0.12,2005,Agriculture/Forestry/Fisheries,2.46,2.51
Belgique,"Waste, non-renewable",0.60,0.13,2006,Agriculture/Forestry/Fisheries,2.39,2.44
Belgique,"Waste, non-renewable",0.62,0.09,2007,Agriculture/Forestry/Fisheries,2.12,2.18
Belgique,"Waste, non-renewable",0.65,0.11,2008,Agriculture/Forestry/Fisheries,1.89,1.98
Belgique,"Waste, non-renewable",0.71,0.11,2009,Agriculture/Forestry/Fisheries,1.95,2.06
Belgique,"Waste, non-renewable",0.70,0.18,2010,Agriculture/Forestry/Fisheries,2.14,2.26
Belgique,"Waste, non-renewable",0.73,0.20,2011,Agriculture/Forestry/Fisheries,1.84,1.97
Belgique,"Waste, non-renewable",0.70,0.16,2012,Agriculture/Forestry/Fisheries,1.91,2.04
Belgique,"Waste, non-renewable",0.66,0.18,2013,Agriculture/Forestry/Fisheries,1.98,2.12
Belgique,"Waste, non-renewable",0.67,0.17,2014,Agriculture/Forestry/Fisheries,1.80,1.93
Belgique,"Waste, non-renewable",0.67,0.17,2015,Agriculture/Forestry/Fisheries,2.07,2.21
Belgique,"Waste, non-renewable",0.68,0.17,2016,Agriculture/Forestry/Fisheries,2.12,2.26
Belgique,"Waste, non-renewable",0.64,0.14,2017,Agriculture/Forestry/Fisheries,2.13,2.28
Belgique,"Waste, non-renewable",0.65,0.16,2018,Agriculture/Forestry/Fisheries,2.22,2.39
Belgique,"Waste, non-renewable",0.66,0.16,2019,Agriculture/Forestry/Fisheries,2.33,2.50
Belgique,"Waste, non-renewable",0.65,0.16,2020,Agriculture/Forestry/Fisheries,2.42,2.61
